DARFs MENSAIS - R4000 v2 teste

"Recolhedor Doc."		"Documento Hábil"	"DARF - Valor Base Cálculo"	"DARF - Valor Total"	"Realizado"
"153409"	"PRO-REITORIA DE GESTAO ADMINISTRATIVA"	"153409152332023TF000005"	"11930,09"	"2105,31"	"2.105,31"
"153409"	"PRO-REITORIA DE GESTAO ADMINISTRATIVA"	"153409152332023TF000006"	"8572,8"	"1512,85"	"1.512,85"
"153409"	"PRO-REITORIA DE GESTAO ADMINISTRATIVA"	"153409152332023TF000008"	"6970,6"	"1230,11"	"1.230,11"
"01781573000162"	"R.P.L ENGENHARIA E SERVICOS LTDA"	"153095152332023NP000389"	"459327,06"	"43406,41"	"43.406,41"
"16951665000110"	"RB GRAFICA DIGITAL EIRELI"	"153086152332023NP000033"	"276"	"26,08"	"26,08"
"16951665000110"	"RB GRAFICA DIGITAL EIRELI"	"153086152332023NP000034"	"184"	"17,39"	"17,39"
"65149197000251"	"REPREMIG REPRESENTACAO E COMERCIO DE MINAS GERAIS LTDA"	"153085152332023NP000037"	"9140"	"534,69"	"534,69"
"09047230000180"	"RICALL COMBUSTIVEIS LTDA"	"153409152332023NP000308"	"269,25"	"3,34"	"1.106,82"
"17654293000123"	"SAO CRISTOVAO COMERCIO DE PRODUTOS DERIVADOS DE PETROLE"	"153409152332023NP000308"	"361,4"	"4,48"	"1.106,82"
"07575881000118"	"SIM GESTAO AMBIENTAL SERVICOS LTDA"	"153095152332023NP000405"	"1041,3"	"98,4"	"98,40"
"07575881000118"	"SIM GESTAO AMBIENTAL SERVICOS LTDA"	"153095152332023NP000406"	"9426,33"	"890,79"	"890,79"
"33013988000182"	"SOCIETE AIR FRANCE"	"153080152332023NP000041"	"100"	"1"	"1,00"
"33013988000182"	"SOCIETE AIR FRANCE"	"153080152332023NP000041"	"100"	"2,4"	"2,40"
"09445502000109"	"SOLUCOES SERVICOS TERCEIRIZADOS LTDA."	"153095152332023NP000388"	"1006472,97"	"58878,67"	"58.878,67"
"13938438000167"	"STIL TERRAPLENAGENS E LOCACOES LTDA"	"153095152332023NP000404"	"20618,25"	"1206,17"	"1.206,17"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000171"	"69,5"	"1,53"	"1,53"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000172"	"708,4"	"15,58"	"15,58"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000181"	"261,9"	"5,76"	"5,76"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000182"	"406,95"	"8,95"	"8,95"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000183"	"790,8"	"17,39"	"17,39"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000192"	"58,5"	"1,29"	"1,29"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"1077"	"23,69"	"23,69"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"1744,13"	"38,37"	"38,37"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"3160"	"69,52"	"69,52"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"3790,48"	"83,39"	"83,39"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"4287,47"	"94,32"	"94,32"
"28820255000110"	"SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRO"	"153087152332023NP000196"	"17366,35"	"382,06"	"382,06"
"17018886000101"	"TALISMA COMERCIO DE COMBUSTIVEL LTDA"	"153409152332023NP000308"	"315,1"	"3,91"	"1.106,82"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000030"	"2405,8"	"24,06"	"38,35"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000030"	"2405,8"	"57,74"	"92,03"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000040"	"745,9"	"7,46"	"30,13"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000040"	"745,9"	"17,9"	"72,31"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000043"	"1718,8"	"17,19"	"17,19"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000043"	"1718,8"	"41,25"	"41,25"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000047"	"27024,5"	"270,24"	"1.027,83"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000047"	"27024,5"	"648,59"	"2.466,81"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000049"	"1295,9"	"12,96"	"22,54"
"02012862001131"	"TAM LINHAS AEREAS S/A."	"153080152332023NP000049"	"1295,9"	"31,1"	"54,08"
"27183604000177"	"TECBOL LTDA"	"153087152332023NP000160"	"2021"	"118,23"	"118,23"
"21306287000152"	"TECNO2000 INDUSTRIA E COMERCIO LTDA"	"153087152332023NP000198"	"10800"	"631,8"	"631,80"
"64799539000135"	"TECNOSET INFORMATICA PRODUTOS E SERVICOS LTDA"	"153409152332023NP000306"	"60700,24"	"5736,17"	"5.736,17"
"07674744000130"	"TEKIS TECNOLOGIAS AVANCADAS LTDA"	"153098152332023NP000043"	"6210"	"586,84"	"586,84"
"07774050000175"	"TKS SEGURANCA PRIVADA LTDA"	"152771152332023NP000038"	"1370602,96"	"129521,98"	"129.521,98"
"41057571000140"	"VERDEJANTE COMERCIAL LTDA"	"153409152332023NP000308"	"1542,85"	"19,13"	"1.106,82"
"41057571000301"	"VERDEJANTE COMERCIAL LTDA"	"153409152332023NP000308"	"656,25"	"8,14"	"1.106,82"
"09533651000111"	"VILA ESPERANCA COMERCIO DE COMBUSTIVEIS LTDA"	"153409152332023NP000308"	"189,59"	"2,35"	"1.106,82"
"31143966000101"	"W.S. COMERCIO DE DERIVADO DE P"	"153409152332023NP000308"	"858,12"	"10,64"	"1.106,82"
